"","word","freq","sentRes","color"
"1273","away‼️n✊🗥join",1,0.25,"#03590C2E"
"1274","awkward",1,-0.5,"#B305095B"
"1275","baby’",1,0.6,"#03590C6D"
"1276","badass🗥🧥‼️ncheck",1,0.4,"#03590C49"
"1277","barrier",1,-0.5,"#B305095B"
"1278","beaten",1,-1,"#B30509B6"
"1279","beautiful”🗥❤️‍🗥🧥🇥nnft",1,0.75,"#03590C89"
"1280","beautiful❤️🗥🗥",1,0.75,"#03590C89"
"1281","beautiful🗥nnnft",1,0.75,"#03590C89"
"1282","benefactor",1,0.75,"#03590C89"
"1283","best🗥🗥",1,0.5,"#03590C5B"
"1284","best🗥🗥nalbatronnitikesnsandeepnnd",1,0.5,"#03590C5B"
"1285","bigtonyhugenn⚡️join",1,0.25,"#03590C2E"
"1286","birthday☹ni",1,0.8,"#03590C92"
"1287","black…nhow",1,-0.25,"#B305092E"
"1288","blaze",1,-0.25,"#B305092E"
"1289","block🗥nnnft",1,-0.4,"#B3050949"
"1290","botch",1,-1,"#B30509B6"
"1291","bouquet",1,0.8,"#03590C92"
"1292","brains🧥nnn🗥",1,0.6,"#03590C6D"
"1293","breach",1,-0.75,"#B3050989"
"1294","breaking",1,-0.6,"#B305096D"
"1295","brightest",1,0.75,"#03590C89"
"1296","brotherhood",1,1,"#03590CB6"
"1297","bulletproof",1,0.5,"#03590C5B"
"1298","bullish🗥n🗥lotteri",1,-0.8,"#B3050992"
"1299","cage",1,-0.6,"#B305096D"
"1300","cardgame hero",1,0.75,"#03590C89"
"1301","chance⚠️nnft",1,0.25,"#03590C2E"
"1302","chance🧥nndon",1,0.25,"#03590C2E"
"1303","chance🧥nnhow",1,0.25,"#03590C2E"
"1304","chaotic",1,-0.75,"#B3050989"
"1305","cherish",1,0.75,"#03590C89"
"1306","chorus",1,0.25,"#03590C2E"
"1307","coexist",1,0.8,"#03590C92"
"1308","comen🧥hug",1,0.75,"#03590C89"
"1309","commend",1,0.75,"#03590C89"
"1310","community☝☝",1,0.6,"#03590C6D"
"1311","community❗️ndiscord",1,0.6,"#03590C6D"
"1312","community🗥",1,0.6,"#03590C6D"
"1313","community🗥nnto",1,0.6,"#03590C6D"
"1314","community🗥🗥",1,0.6,"#03590C6D"
"1315","community🗥🗥nnaburai",1,0.6,"#03590C6D"
"1316","community🧥neth",1,0.6,"#03590C6D"
"1317","community🧥nrahman",1,0.6,"#03590C6D"
"1318","complaint",1,-0.75,"#B3050989"
"1319","completed✔️n🗥friend🇥️",1,0.8,"#03590C92"
